nome,logradouro,numero,complemento,bairro,municipio,cep
Hospital das Clínicas da FMUSP,Av. Dr. Enéas Carvalho de Aguiar,255,,Cerqueira César,São Paulo,05403-000
Hospital Sírio-Libanês,Rua Adma Jafet,91,,Bela Vista,São Paulo,01308-050
Hospital Israelita Albert Einstein,Av. Albert Einstein,627,,Morumbi,São Paulo,05652-900
Hospital São Camilo,Pça. Dr. Emílio Ribas,100,,Pompéia,São Paulo,05009-010
Beneficência Portuguesa de São Paulo,Rua Maestro Cardim,769,,Bela Vista,São Paulo,01323-900
Santa Casa de Misericórdia de São Paulo,Rua Dr. Cesário Motta Jr.,112,,Vila Buarque,São Paulo,01221-020
Hospital Samaritano,Rua Conselheiro Brotero,1486,,Higienópolis,São Paulo,01232-010
Hospital Santa Catarina,Av. Paulista,200,,Bela Vista,São Paulo,01310-000
Hospital Leforte,Rua Barão de Limeira,561,,Campos Elíseos,São Paulo,01202-001
Hospital Nove de Julho,Alameda Joaquim Eugênio de Lima,647,,Jardim Paulista,São Paulo,01403-001
Hospital Santa Marcelina - Itaquaquecetuba,Rua Santa Marcelina,1770,,Jardim Santa Marcelina,Itaquaquecetuba,08598-000
Hospital Santa Marcelina - Itaquera,Rua Santa Marcelina,177,,Itaquera,São Paulo,08270-070
Hospital Santa Marcelina - Itaim Paulista,Rua Barão de Ladário,255,,Itaim Paulista,São Paulo,08190-000
Hospital de São Mateus,Rua Ângelo de Cândia, 540,,São Mateus,São Paulo,03949-010
Hospital de Ferraz de Vasconcelos,Rua Armando Salles, 1000,,Centro,Ferraz de Vasconcelos,08500-000
Hospital Santa Clara,Av. Santa Clara,123,,Centro,São Paulo,01000-000
Hospital Santa Clara - Unidade Leste,Rua das Acácias,456,,Vila Leste,São Paulo,02000-000
Hospital Santa Clara - Unidade Sul,Av. das Palmeiras,789,,Jardim Sul,São Paulo,03000-000
Clínica Santa Clara,Rua das Flores,321,,Jardim América,São Paulo,04000-000
