nome,logradouro,numero,bairro,cep,cod_municipio,co_cnes,latitude,longitude,telefone
HOSPITAL SANCTA MAGGIORE,RUA JUAGUARIBE,144,VILA BUARQUE,01224000,355030,9131434,-23.541447,-46.6515815,40859000
HOSPITAL SANTA EDWIGES,AV SAO JOSE DOS CAMPOS,256,JD NOVA EUROPA,13040145,350950,7598211,-22.9346013,-47.05498030000001,
HOSPITAL GERAL DE CARAPICUIBA,RUA DA PEDREIRA,95,PARQUE JOSE ALEX AND,06321665,351060,2792168,-23.5341611,-46.83035318652958,(11) 4185-7600
HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO,AV ELISIO TEIXEIRA LEITE,6999,PARADA DE TAIPAS,02810000,355030,2082225,-23.476901,-46.729302,(11) 3973-0416
HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI,AV BRIGADEIRO LUIZ ANTONIO,2651,JARDIM PAULISTA,01401901,355030,2088576,-23.561603,-46.688405,(11) 3170-6329
SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO,RUA DR CESARIO MOTA JUNIOR,112,VILA BUARQUE,01221020,355030,2688689,-23.5431724,-46.64990518769836,(11) 2176-7000
HOSP MUN FERNANDO MAURO PIRES DA ROCHA,ESTRADA DE ITAPECERICA,1661,CAMPO LIMPO,05835005,355030,2786680,-23.532900,-46.759682,(11)33947460
HOSPITAL SAGRADA FAMILIA,RUA ARAPOCA,128,VILA FORMOSA,03362000,355030,9490604,-23.5651605,-46.5422197,(11)4380-8010
HOSPITAL DE CAMPANHA COVID 19 OSASCO,AV GETULIO VARGAS,889,PIRATININGA,06233020,353440,0105597,-23.51362765,-46.788874412861276,11 2183-8600
HOSPITAL E MATERNIDADE GUARULHOS HAPVIDA,TIRADENTES,1015,JARDIM GUARULHOS,07090000,351880,9255826,-23.4625421,-46.5257149,11 31552000
COMPLEXO HOSPITALAR DE CLINICAS,RUA SAO PAULO,1840,STA PAULA,09540430,354880,2082594,-23.6222179,-46.5634275,(11)42288000
HOSPITAL IMACULADA CONCEICAO,DOM JOSE GASPAR,1374,VILA ASSIS BRASIL,09370670,352940,2751747,-23.685972,-46.460344,112198 8300
ATPN HOSPITAL DE CAMPANHA DE MAUA,AVENIDA JOAO RAMALHO,245,VILA NOEMIA,09371520,352940,0119172,-23.6641999,-46.4851305,1145127500
HOSPITAL DE CAMPANHA COVID 19 CARLOS LOURENCO,RUA PRAIA DA ENSEADA,S/N,JD CARLOS LOURENCO,13100678,350950,0197831,-22.9225783,-47.0274248,
HOSPITAL UNIVERSITARIO DA USP SAO PAULO,AV PROF LINEU PRESTES,2565,BUTANTA,05580000,355030,2076926,-23.56491995,-46.74095019191067,(11) 3091-9316
HOSP MUN JOSANIAS CASTANHA BRAGA,RUA EUZEBIO COGHI,841,JARDIM ROSCHEL,04883290,355030,9465464,-23.8264629,-46.7305962,
HOSPITAL SAINT PETER,RUA ESTADO DE ISRAEL,747,VILA CLEMENTINO,04022002,355030,7602227,-23.5942953,-46.6469183,59048100
HOSPITAL BDW SP,AVENIDA DOS BANDEIRANTES,679,VILA OLIMPIA,04553010,355030,2879441,-23.6247151,-46.6496457,(51)3500-8959
IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA,STO AMARO,2468,BROOKLIN PAULISTA,04556901,355030,0255661,-23.642519237618252,-46.69983923435211,11 31479999
HOSPITAL NEUROCENTER,RUA OTAVIANO NUNES DA SILVA,223,VILA MOREIRA,07021001,351880,9149511,-23.47288,-46.54030,1124616161
HOSPITAL SAO PEDRO BRAGANCA,RUA EUNICE FERRAZ FERNANDES,151,JARDIM DO LAGO,12914500,350760,9136754,,,31950850
UNION CLINICA MEDICA E LABORATORIOS EIRELLI,RUA EUNICE FERRAZ FERNANDES,151,JARDIM DO LAGO,12914500,350760,9348832,,,3195-0850
SANTA MARCELINA SAUDE SAO BERNARDO DO CAMPO,AVENIDA WINSTON CHURCHILL,151,RUDGE RAMOS,09613000,354870,9768688,-23.67084,-46.56615,43369100
HOSPITAL SANTA ELISA,RUA SOCRATES FERNANDES DE OLIVEIRA,70,CHACARA URBANA,13201838,352590,2078759,-23.18277435,-46.8922242577304,(11)45834444
HOSPITAL DE CAMPANHA,RUA SANTA RITA DE CASSIA,173,VILA JAPAO,08599010,352310,0678899,-23.46828520085324,-46.34809970855713,
HOSPITAL E PRONTO SOCORRO PORTINARI,PRACA GENERAL GUIMARAES,77,VILA JAGUARA,05114110,355030,2823209,-23.5084516,-46.7511716,
HOSPITAL JAPONES SANTA CRUZ,R SANTA CRUZ,398,VILA MARIANA,04122000,355030,2082624,-23.5969409,-46.6327828,(11)50802000
HOSP DA STA CASA DE STO AMARO,RUA ISABEL SCHMIDT,59,SANTO AMARO,04743030,355030,2075962,-23.6502,-46.7052,(11)55258700
HOSPITAL PROFESSORA LYDIA STOROPOLI,VERGUEIRO,235,LIBERDADE,01504001,355030,7252455,-23.564142168837957,-46.638998293087816,11 33859122
HOSPITAL DI THIENE SAO CAETANO LTDA,JAYME DA COSTA PATRAO,30,SANTO ANTONIO,09510115,354880,4051297,-23.6170372,-46.572021,11 21411800
CASA DE SAUDE,RUA SETE DE SETEMBRO,3033,VIL NERY,13560181,354890,2078864,-22.0158679,-47.8818984,(16)3373-2455
HOSPITAL E MATERNIDADE RENASCENCA,RUA PEDRO FIORETTI,S/N,VILA REGINA,06013070,353440,2078171,,,(11)3651-7550
CENTRO DE TRIAGEM COVID SAO CARLOS,RUA ERNESTO GONCALVES ROSA JUNIOR,S/N,VILA ISABEL,13560970,354890,0420964,-22.0339196,-47.8770415,1633621350
HOSPITAL MODELO SOROCABA,RUA AFONSO PEDRAZZI,180,TRUJILO,18060450,355220,2082101,-23.4934077846234,-47.47414469718933,(15) 3212-7600
HOSP MUN PROF DR WALDOMIRO DE PAULA,RUA AUGUSTO CARLOS BAUMANN,1074,ITAQUERA,08210590,355030,2077639,-23.531008907906077,-46.4448818564415,(11)51780500
HOSPITAL DE CAMPANHA COVID EMBU DAS ARTES,RUA POCOS DE CALDAS,66,JD DOM JOSE,06823310,351500,0621110,-23.675069,-46.8041017,
HOSPITAL ESPORTE E SAUDE BR SURGERY,RUA FAGUNDES FILHO,475,VILA MONTE ALEGRE,04304010,355030,0507733,-23.6265,-46.6293,11 4369-4300
UNIDADE HOSPITALAR SANTO AMARO,AV ADOLFO PINHEIRO,339,SANTO AMARO,04753060,355030,0664200,-23.3253,-46.3810,11 55556767
HOSPITAL BOM CLIMA,AVN MARIANA UBALDINA DO ESPIRITO STO,654,BOM CLIMA,07197000,351880,2718324,-23.463029813324596,-46.532957553863525,(11)24724200
COMPLEXO HOSPITALAR SANTA CASA BRAGANCA PAULISTA,RUA CEL ASSIS GONCALVES,700,CENTRO,12900480,350760,2688433,-22.95122205,-46.54306555363594,(11) 44818016
COMPLEXO HOSPITALAR PAULISTA,RUA ANTONIO CARLOS,122,CERQUEIRA CESAR,01309010,355030,3019934,,,(11)32536000
HOSPITAL UNIMED DE ARACATUBA,GASPAR LEMOS,02,PANORAMA,16013800,350280,3366219,-21.2305644,-50.4169753,18 36361300
HOSP E MAT STO EXPEDITO,RUA TOMOICHI SHIMIZU,201,ITAQUERA,08260140,355030,3585409,-23.5774087,-46.439653,(11)65217799
HOSPITAL CENTRAL SUL,ESTRADA DE ITAPECERICA,4659,CAPAO REDONDO,05858001,355030,2819473,-23.660140220298118,-46.77275776863098,(11) 5510-7780
HOSPITAL DOM PEDRO,AVENIDA ALCANTARA MACHADO,60,BRAS,03102000,355030,3919072,-23.4853109,-46.3027334,3278.0010
HOSPITAL ESTADUAL DE CAMPANHA COVID 19 SOROCABA,RUA GUSTAVO TEIXEIRA,S/N,VILA INDEPENDENCIA,18040323,355220,0675857,-23.1825,-47.1622,(15) 33210170
HOSPITAL E MATERNIDADE NOTRECARE ABC,PEREIRA BARRETO,846,BAETA NEVES,09751000,354870,9738754,-23.6925253,-46.5485423,1143367800
HOSPITAL SAMARITANO UNIDADE II,SAO JOSE DOS CAMPOS,256,JARDIM NOVA EUROPA,13040145,350950,9806342,-22.931821,-47.057067,19 37361199
UPH ZONA LESTE UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,RUA CORONEL NOGUEIRA PADILHA,2567,VILA HORTENCIA,18020003,355220,0792063,-23.5090511,-47.4908614,15 3333-0100
